year,adm3,adm2,adm1,qfirms,sales,qfixedworkers,wfixedworkers,qfwmonth,qfwfem,wfwfem,qfwmfem,qfwmale,wfwmale,qfwmmale,qflexworkers,wflexworkers,qflwmonth,qflwfem,wflwfem,qflwmfem,qflwmale,wflwmale,qflwmmale,asdf_id,totalworkers,totalwage
2021,San Pedro de la Paz,Concepcion,Biobio,6455,18904564.13,23443,2906819.84,12838.494,6970,1021152.821,4349.832,16576,1897545.233,8488.579,9453,557768.098,3134.247,4411,230207.431,1640.332,5042,327560.662,1493.915,99,32896,3464587.938
2021,San Rafael,Talca,Maule,546,12578697.24,1702,1862825.787,1122.667,687,693247.7975,493.916,1013,1172552.77,628.751,568,360823.6535,249.584,300,159668.2936,146.417,268,201137.5879,103.167,282,2270,2223649.441
2021,San Ramon,Santiago, Metropolitana de Santiago,2909,16411884.5,9780,3765042.3,6645.414,4397,1792846.215,3377.499,5369,1975377.686,3267.915,4875,1036987.386,2217.914,2741,546040.3876,1259.583,2134,490929.2179,958.333,47,14655,4802029.686
2021,San Rosendo,Biobio,Biobio,110,6606665.598,111,1151411.807,46.584,39,502557.3652,20.416,71,650429.7258,26.166,62,293973.9421,32.417,44,133484.1739,25.166,18,160483.5122,7.25,87,173,1445385.749
2021,San Vicente,Cachapoal,Libertador Gral. Bernardo OÕHiggins,3484,9243216.55,12640,1185175.938,6194.247,4379,476737.802,2271.665,8234,708438.132,3922.58,3688,293480.958,1717.583,1750,144784.178,923.749,1938,148696.781,793.833,41,16328,1478656.896
2021,Santa Barbara,Biobio,Biobio,807,12829635.18,1554,1787706.804,843,575,628688.2635,310.083,977,1161947.535,532.584,561,340802.1605,247.251,340,147017.2326,159.917,221,193767.1539,87.333,283,2115,2128508.965
2021,Santa Cruz,Colchagua,Libertador Gral. Bernardo OÕHiggins,3523,11729946.03,14847,1715315.613,7872.079,5827,806594.526,3372.249,9000,908714.409,4499.748,3595,387399.337,1413.415,1673,188252.905,706.083,1922,199146.44,707.333,274,18442,2102714.95
2021,Santa Juana,Concepcion,Biobio,598,12429799.9,1664,1891066.83,1120.75,738,709914.1245,541.5,919,1184127.485,579.25,518,364790.6115,247.833,237,160153.1286,118.333,281,204619.7099,129.5,100,2182,2255857.442
2021,Santa Maria,San Felipe de Aconcagua,Valparaiso,931,13489191.53,4609,1987075.165,2153.665,1910,748793.4725,935.916,2748,1242360.387,1217.749,991,385818.1565,416.75,516,175519.9686,234,475,210280.4169,182.75,73,5600,2372893.322
2021,Santiago,Santiago, Metropolitana de Santiago,59554,275157394.5,388369,95051074.27,262284.092,187836,46774062.23,136947.302,200473,48360889.52,125327.789,156052,14928322.16,50794.281,74472,6394671.446,24241.308,81580,8532599.207,26552.556,109,544421,109979396.4
